	cre	collection_date	sequencing_type	total_reads	all_mapped_percent	mRNA_percent	genome_percent	ercc_percent	tdt_permillion	BICCN_class_label	BICCN_cluster_label	major_dissection	layer_dissectoin	color_code	short_name	BICCN_ontology_term_id	assay_ontology_term_id	disease_ontology_term_id	tissue_ontology_term_id	cell_type_ontology_term_id	self_reported_ethnicity_ontology_term_id	development_stage_ontology_term_id	sex_ontology_term_id	is_primary_data	organism_ontology_term_id	donor_id	suspension_type	tissue_type	cell_type	assay	disease	organism	sex	tissue	self_reported_ethnicity	development_stage	observation_joinid
A01101401	Calb2	11/18/2013	hiseq	23770190	93.5	54.43	30.08	4.36	306.1	Inhibitory	Vip	V1	All	11	A200_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	58)wcQnOTs
A01101402	Calb2	11/18/2013	hiseq	9694719	92.86	45.69	35.45	7.84	341.2	Inhibitory	Vip	V1	All	11	A201_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	ko|#w$$237
A01101403	Calb2	11/18/2013	hiseq	5864322	90.55	48.3	34.01	4.12	106.2	Excitatory	L4	V1	All	11	A202_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	MXPd2fhc&U
A01101404	Calb2	11/18/2013	hiseq	22102121	93.25	51.41	33.81	4.24	371.1	Inhibitory	Vip	V1	All	11	A203_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	UmjBy$JRU^
A01101405	Calb2	11/18/2013	hiseq	24057147	93.14	51.06	32.11	4.98	264.2	Inhibitory	Vip	V1	All	11	A204_V	ILX:0770151	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	4to@$#}{k8
A01101406	Calb2	11/18/2013	hiseq	24171169	92.18	49.31	35.85	3.14	205.8	Excitatory	L2/3	V1	All	11	A205_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	F{Y6&#1v1d
A01101407	Calb2	11/18/2013	hiseq	22447919	93.19	48.83	37.06	3.12	204.5	Excitatory	L2/3	V1	All	11	A206_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	XZY9rjR~!&
A01101408	Calb2	11/18/2013	hiseq	20995719	93.1	67.24	18.11	2.27	302.3	Excitatory	L2/3	V1	All	11	A207_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	126148	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	Nl>jpL?#SL
A02271433	Calb2	2/25/2014	hiseq	9023705	93.01	47.38	34.82	3.22	318.4	Excitatory	L4	V1	All	11	A272_V	ILX:0770174	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	gCpPViGJ{w
A02271434	Calb2	2/25/2014	hiseq	23016406	93.18	53.5	31.67	2.13	318.1	Excitatory	L2/3_Syt10	V1	All	11	A273_V	ILX:0770156	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000679	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	glutamatergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	7Y7ua!P3EV
A02271435	Calb2	2/25/2014	hiseq	5447298	90.17	55.78	24.8	2.61	183.8	Inhibitory	Pvalb	V1	All	11	A274_V	ILX:0770154	EFO:0008930	PATO:0000461	UBERON:0002436	CL:0000617	na	MmusDv:0000061	PATO:0000384	True	NCBITaxon:10090	134888	cell	tissue	GABAergic neuron	Smart-seq	normal	Mus musculus	male	primary visual cortex	na	early adult stage	*`P|YS{=L@
