cell_type	subclass_cell_type	subclass_cell_type_uri	class_cell_type	class_cell_type_uri	family_cell_type	family_cell_type_uri
L2/3-6 intratelencephalic projecting glutamatergic neuron	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	glutamatergic neuron	CL:0000679
oligodendrocyte	oligodendrocyte	CL:0000128	oligodendrocyte	CL:0000128	oligodendrocyte	CL:0000128
pvalb GABAergic cortical interneuron	pvalb GABAergic cortical interneuron	CL:4023018	pvalb GABAergic cortical interneuron	CL:4023018	GABAergic interneuron	CL:0011005
vip GABAergic cortical interneuron	vip GABAergic cortical interneuron	CL:4023016	vip GABAergic cortical interneuron	CL:4023016	GABAergic interneuron	CL:0011005
sst GABAergic cortical interneuron	sst GABAergic cortical interneuron	CL:4023017	sst GABAergic cortical interneuron	CL:4023017	GABAergic interneuron	CL:0011005
astrocyte of the cerebral cortex	astrocyte	CL:0000127	astrocyte	CL:0000127	astrocyte	CL:0000127
lamp5 GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	CL:4023011	lamp5 GABAergic cortical interneuron	CL:4023011	GABAergic interneuron	CL:0011005
microglial cell	microglial cell	CL:0000129	microglial cell	CL:0000129	microglial cell	CL:0000129
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453	oligodendrocyte precursor cell	CL:0002453	oligodendrocyte precursor cell	CL:0002453
sncg GABAergic cortical interneuron	sncg GABAergic cortical interneuron	CL:4023015	sncg GABAergic cortical interneuron	CL:4023015	GABAergic interneuron	CL:0011005
near-projecting glutamatergic cortical neuron	near-projecting glutamatergic cortical neuron	CL:4023012	deep layer non-IT		glutamatergic neuron	CL:0000679
L6b glutamatergic cortical neuron	L6b glutamatergic cortical neuron	CL:4023038	deep layer non-IT		glutamatergic neuron	CL:0000679
chandelier pvalb GABAergic cortical interneuron	chandelier pvalb GABAergic cortical interneuron	CL:4023036	chandelier pvalb GABAergic cortical interneuron	CL:4023036	GABAergic interneuron	CL:0011005
caudal ganglionic eminence derived GABAergic cortical interneuron	PAX6 GABAergic cortical interneuron	CL:4042032	PAX6 GABAergic cortical interneuron	CL:4042032	GABAergic interneuron	CL:0011005
L5 extratelencephalic projecting glutamatergic cortical neuron	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041	deep layer non-IT		glutamatergic neuron	CL:0000679
L6 corticothalamic-projecting glutamatergic cortical neuron	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	deep layer non-IT		glutamatergic neuron	CL:0000679
corticothalamic-projecting glutamatergic cortical neuron	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	deep layer non-IT		glutamatergic neuron	CL:0000679
vascular leptomeningeal cell	vascular leptomeningeal cell	CL:4023051	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
cerebral cortex endothelial cell	endothelial cell	CL:0000115	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
astrocyte	astrocyte	CL:0000127	astrocyte	CL:0000127	astrocyte	CL:0000127
endothelial cell	endothelial cell	CL:0000115	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
pericyte	pericyte	CL:0000669	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
VIP GABAergic cortical interneuron	vip GABAergic cortical interneuron	CL:4023016	vip GABAergic cortical interneuron	CL:4023016	GABAergic interneuron	CL:0011005
L2/3 intratelencephalic projecting glutamatergic neuron	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	glutamatergic neuron	CL:0000679
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	near-projecting glutamatergic cortical neuron	CL:4023012	deep layer non-IT		glutamatergic neuron	CL:0000679
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	glutamatergic neuron	CL:0000679
inhibitory interneuron	sncg GABAergic cortical interneuron	CL:4023015	sncg GABAergic cortical interneuron	CL:4023015	GABAergic interneuron	CL:0011005
macrophage	macrophage	CL:0000235	immune		immune
myeloid cell	myeloid cell	CL:0000763	immune		immune
smooth muscle cell	smooth muscle cell	CL:0000192	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
B cell	B cell	CL:0000236	immune		immune
erythroid lineage cell	erythroid lineage cell	CL:0000764	brain vascular cell	CL:4023072	brain vascular cell	CL:4023072
T cell	T cell	CL:0000084	immune		immune
