ID	NCBI_GENE_ID	ENSEMBL_ID	OFFICIAL_SYMBOL	OFFICIAL_NAME
1	1	ENSG00000121410	A1BG	alpha-1-B glycoprotein
22	2	ENSG00000175899	A2M	alpha-2-macroglobulin
51	3	ENSG00000291190	A2MP1	alpha-2-macroglobulin pseudogene 1
52	9	ENSG00000171428	NAT1	N-acetyltransferase 1
266	10	ENSG00000156006	NAT2	N-acetyltransferase 2
480	12	ENSG00000196136	SERPINA3	serpin family A member 3
556	13	ENSG00000114771	AADAC	arylacetamide deacetylase
567	14	ENSG00000127837	AAMP	angio associated migratory cell protein
612	15	ENSG00000129673	AANAT	aralkylamine N-acetyltransferase
638	16	ENSG00000090861	AARS1	alanyl-tRNA synthetase 1
655	18	ENSG00000183044	ABAT	4-aminobutyrate aminotransferase
692	19	ENSG00000165029	ABCA1	ATP binding cassette subfamily A member 1
733	20	ENSG00000107331	ABCA2	ATP binding cassette subfamily A member 2
781	21	ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3
803	22	ENSG00000131269	ABCB7	ATP binding cassette subfamily B member 7
829	23	ENSG00000204574	ABCF1	ATP binding cassette subfamily F member 1
867	24	ENSG00000198691	ABCA4	ATP binding cassette subfamily A member 4
889	25	ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
938	26	ENSG00000002726	AOC1	amine oxidase copper containing 1
978	27	ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
1002	28	ENSG00000175164	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
1256	29	ENSG00000159842	ABR	ABR activator of RhoGEF and GTPase
1276	30	ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1
1326	31	ENSG00000278540	ACACA	acetyl-CoA carboxylase alpha
1387	32	ENSG00000076555	ACACB	acetyl-CoA carboxylase beta
1414	33	ENSG00000115361	ACADL	acyl-CoA dehydrogenase long chain
1428	34	ENSG00000117054	ACADM	acyl-CoA dehydrogenase medium chain
1450	35	ENSG00000122971	ACADS	acyl-CoA dehydrogenase short chain
1470	36	ENSG00000196177	ACADSB	acyl-CoA dehydrogenase short/branched chain
1491	37	ENSG00000072778	ACADVL	acyl-CoA dehydrogenase very long chain
