cell_type	subclass_cell_type	subclass_cell_type_uri	class_cell_type	class_cell_type_uri
L2/3-6 intratelencephalic projecting glutamatergic neuron	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
oligodendrocyte	oligodendrocyte	CL:0000128	oligodendrocyte	CL:0000128
pvalb GABAergic cortical interneuron	pvalb GABAergic cortical interneuron	CL:4023018	pvalb GABAergic cortical interneuron	CL:4023018
vip GABAergic cortical interneuron	vip GABAergic cortical interneuron	CL:4023016	vip GABAergic cortical interneuron	CL:4023016
sst GABAergic cortical interneuron	sst GABAergic cortical interneuron	CL:4023017	sst GABAergic cortical interneuron	CL:4023017
astrocyte of the cerebral cortex	astrocyte	CL:0000127	astrocyte	CL:0000127
lamp5 GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	CL:4023011	lamp5 GABAergic cortical interneuron	CL:4023011
microglial cell	microglial cell	CL:0000129	microglial cell	CL:0000129
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453	oligodendrocyte precursor cell	CL:0002453
sncg GABAergic cortical interneuron	sncg GABAergic cortical interneuron	CL:4023015	sncg GABAergic cortical interneuron	CL:4023015
near-projecting glutamatergic cortical neuron	near-projecting glutamatergic cortical neuron	CL:4023012	deep layer non-IT	
L6b glutamatergic cortical neuron	L6b glutamatergic cortical neuron	CL:4023038	deep layer non-IT	
chandelier pvalb GABAergic cortical interneuron	chandelier pvalb GABAergic cortical interneuron	CL:4023036	chandelier pvalb GABAergic cortical interneuron	CL:4023036
caudal ganglionic eminence derived GABAergic cortical interneuron	PAX6 GABAergic cortical interneuron	CL:4042032	PAX6 GABAergic cortical interneuron	CL:4042032
L5 extratelencephalic projecting glutamatergic cortical neuron	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041
L6 corticothalamic-projecting glutamatergic cortical neuron	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	deep layer non-IT	
corticothalamic-projecting glutamatergic cortical neuron	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013	deep layer non-IT	
vascular leptomeningeal cell	vascular leptomeningeal cell	CL:4023051	vascular	
cerebral cortex endothelial cell	endothelial cell	CL:0000115	vascular	
astrocyte	astrocyte	CL:0000127	astrocyte	CL:0000127
endothelial cell	endothelial cell	CL:0000115	vascular	
pericyte	pericyte	CL:0000669	vascular	
