cell_type	new_cell_type	cell_type_ontology_term_id
L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
glutamatergic neuron	glutamatergic neuron	CL:0000679
L2/3-6 intratelencephalic projecting glutamatergic neuron	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L6 corticothalamic-projecting glutamatergic cortical neuron	L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042
L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	L6 intratelencephalic projecting glutamatergic neuron	CL:4030065
GABAergic neuron	GABAergic neuron	CL:0000617
hippocampal neuron	hippocampal neuron	CL:0002608
sst GABAergic cortical interneuron	sst GABAergic cortical interneuron	CL:4023017
vip GABAergic cortical interneuron	vip GABAergic cortical interneuron	CL:4023016
lamp5 GABAergic cortical interneuron	lamp5 GABAergic cortical interneuron	CL:4023011
L5/6 near-projecting glutamatergic neuron of the primary motor cortex	L5/6 near-projecting glutamatergic neuron	CL:4030067
L6b glutamatergic cortical neuron	L6b glutamatergic cortical neuron	CL:4023038
pvalb GABAergic cortical interneuron	pvalb GABAergic cortical interneuron	CL:4023018
L5 extratelencephalic projecting glutamatergic cortical neuron	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:4023041
corticothalamic-projecting glutamatergic cortical neuron	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013
oligodendrocyte	oligodendrocyte	CL:0000128
pyramidal neuron	pyramidal neuron	CL:0000598
astrocyte	astrocyte	CL:0000127
microglial cell	microglial cell	CL:0000129
sncg GABAergic cortical interneuron	sncg GABAergic cortical interneuron	CL:4023015
L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex	L2/3 intratelencephalic projecting glutamatergic neuron	CL:4030059
macrophage	macrophage	CL:0000235
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453
endothelial cell	endothelial cell	CL:0000115
leptomeningeal cell	leptomeningeal cell	CL:0000708
sst chodl GABAergic cortical interneuron	sst chodl GABAergic cortical interneuron	CL:4023121
pericyte	pericyte	CL:0000669
central nervous system macrophage	macrophage	CL:0000235
brain pericyte	pericyte	CL:0000669
Cajal-Retzius cell	Cajal-Retzius cell	CL:0000695
vascular leptomeningeal cell (Mmus)	vascular leptomeningeal cell	CL:4023051
neuroepithelial stem cell	neuroepithelial stem cell	CL:0002259
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625
neural stem cell	neural stem cell	CL:0000047
T cell	T cell	CL:0000084
ependymal cell	ependymal cell	CL:0000065
smooth muscle cell	smooth muscle cell	CL:0000192
mature NK T cell	mature NK T cell	CL:0000814
