author_cell_type	new_cell_type	cell_type_ontology_term_id
neural stem cell	neural stem cell	CL:0000047
neuroepithelial stem cell	neural stem cell	CL:0000047
astrocyte	astrocyte	CL:0000127
endothelial cell	vascular	
ependymal cell	vascular	
Macrophage	central nervous system macrophage	CL:0000878
macrophage	central nervous system macrophage	CL:0000878
microglial cell	microglial cell	CL:0000129
oligodendrocyte	oligodendrocyte	CL:0000128
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453
brain pericyte	vascular	
CD8-positive, alpha-beta T cell	leukocyte	CL:0000738
T cell	leukocyte	CL:0000738
mature NK T cell	leukocyte	CL:0000738
Prog/IP	neural stem cell	CL:0000047
Vip	VIP GABAergic cortical interneuron	CL:4023016
Pvalb	pvalb GABAergic cortical interneuron	CL:4023018
Sst	sst GABAergic cortical interneuron	CL:4023017
Lamp5	lamp5 GABAergic cortical interneuron	CL:4023011
Sncg	sncg GABAergic cortical interneuron	CL:4023015
L5 IT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L6 CT	deep layer non-IT	
L6 IT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L5/6 NP	deep layer non-IT	
L5 ET	deep layer non-IT	
L6b	deep layer non-IT	
Astro	astrocyte	CL:0000127
Endo	vascular	
VLMC	vascular	
Micro	microglial cell	CL:0000129
Oligo	oligodendrocyte	CL:0000128
Peri	vascular	
SMC	vascular	
Sst Chodl	sst GABAergic cortical interneuron	CL:4023017
CR	Cajal-Retzius cell	CL:0000695
SUB-ProS	hippocampal neuron	CL:0002608
Car3	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
CT SUB	deep layer non-IT	
DG	hippocampal neuron	CL:0002608
CA3	hippocampal neuron	CL:0002608
CA2-IG-FC	hippocampal neuron	CL:0002608
L3 IT ENT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT PPP	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2 IT ENTm	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT RHP	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L4/5 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L5 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L5 PT CTX	deep layer non-IT	
L5/6 IT TPE-ENT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L5 PPP	deep layer non-IT	
L5/6 NP CTX	deep layer non-IT	
NP PPP	deep layer non-IT	
NP SUB	deep layer non-IT	
L6 CT CTX	deep layer non-IT	
L6 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L6 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L6b/CT ENT	deep layer non-IT	
L6b CTX	deep layer non-IT	
CA1-ProS	hippocampal neuron	CL:0002608
Micro-PVM	central nervous system macrophage	CL:0000878
SMC-Peri	vascular	
